country_code,country,year,nuts2016,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist,growth_sum_farright,growth_sum_eurosceptic,growth_sum_populist,dev_mean_sum_farright,dev_mean_sum_eurosceptic,dev_mean_sum_populist,gdp,population,employment,employment_rate,ge65,elder_rate,fem_rate,migration_rate,pop_density,gdp_lag_4,employment_rate_lag_4,migration_rate_lag_4,growth_eurosceptic_p_perc,growth_populism_p_perc
DE,Germany,2004,DE246,3,"Bayreuth, Landkreis",EP,-Inf,-4.9004599650645835,-4.9004599650645835,-Inf,-Inf,-Inf,NA,NA,NA,9.6023824597522065,11.602802731372902,3.519868911379654,-1.175178541011112,NA,NA,4.571969081573506,0.09531017980432493,4.4520190064939165,-0.0965379270426473,-0.06413799285416924,-0.737598943130779,NA,NA
DE,Germany,2004,DE247,3,"Coburg, Landkreis",EP,-Inf,-4.58486006151595,-4.58486006151595,-Inf,-Inf,-Inf,NA,NA,NA,9.830916859701293,11.43011977711331,3.5920931854262443,-0.9302713127049292,NA,NA,4.568165540223721,NA,5.0479310788399525,-0.10697211955216783,-0.11165759770528295,0.3364722366212129,NA,NA
DE,Germany,2004,DE248,3,Forchheim,EP,-Inf,-4.899195732362048,-4.899195732362048,-Inf,-Inf,-Inf,NA,NA,NA,9.698920386794853,11.63742368102698,3.581294243433999,-1.1483741586108454,NA,NA,4.583343046690499,0.9162907318741551,5.172187089403825,0.056797598393133246,-0.022224305220132773,-0.587786664902119,NA,NA
DE,Germany,2004,DE249,3,"Hof, Landkreis",EP,-Inf,-4.803652584891211,-4.803652584891211,-Inf,-Inf,-Inf,NA,NA,NA,9.852194258148577,11.58529263709613,3.8073289343134804,-0.8702084238005119,NA,NA,4.534613978201025,NA,4.787491742782046,0.08223809823697201,-0.06361400374732183,0.5798184952529422,NA,NA
DE,Germany,2004,DE24A,3,Kronach,EP,-Inf,-5.042785837760807,-5.042785837760807,-Inf,-Inf,-Inf,NA,NA,NA,10.094107912144779,11.219654470214223,3.606312730456974,-0.7055864607751119,NA,NA,4.568267014859073,NA,4.738826570800765,0.09986599634018563,-0.029356178861218635,-1.9459101490553132,NA,NA
DE,Germany,2004,DE24B,3,Kulmbach,EP,-Inf,-4.864060907746028,-4.864060907746028,-Inf,-Inf,-Inf,NA,NA,NA,9.966462351697517,11.2636945788927,3.5824072096034194,-0.7735320903071436,NA,NA,4.542177848050614,NA,4.771531723203316,0.057987257650349316,-0.02166167017427574,NA,NA,NA
DE,Germany,2004,DE24C,3,Lichtenfels,EP,-Inf,-5.142077892535107,-5.142077892535107,-Inf,-Inf,-Inf,NA,NA,NA,10.19241884438834,11.165351835277841,3.5601934464858913,-0.6974031098098136,NA,NA,4.560315554988636,NA,4.909709375506295,0.18908595688249666,-0.08039660650601503,3.295836866004329,NA,NA
DE,Germany,2004,DE24D,3,Wunsiedel i. Fichtelgebirge,EP,-Inf,-4.88560697351398,-4.88560697351398,-Inf,-Inf,-Inf,NA,NA,NA,9.98506753952855,11.330983835994559,3.5975861956675455,-0.8256423613448767,NA,NA,4.517042660472472,NA,4.919250732294404,0.03756310157564852,-0.07954671829564347,-0.11122563511022437,NA,NA
DE,Germany,2004,DE251,3,"Ansbach, Kreisfreie Stadt",EP,-Inf,-4.5622091532190865,-4.5622091532190865,-Inf,-Inf,-Inf,NA,NA,NA,10.568749529606537,10.614179912311823,3.5019472847622986,-0.2044773485673867,NA,NA,4.504761651515633,NA,6.007337896264272,0.11425456367158701,-0.021283962995190087,NA,NA,NA
DE,Germany,2004,DE252,3,"Erlangen, Kreisfreie Stadt",EP,-Inf,-4.256326967219328,-4.256326967219328,-Inf,-Inf,-Inf,NA,NA,NA,11.0037651205233,11.537120392760453,4.482098188398097,-0.14726692538021852,NA,NA,4.552038577522649,-1.2039728043259361,7.195862261146998,0.040752668027108106,0.00476854064983526,NA,NA,NA
