DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2008,4.4,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2009,4.8,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2010,3.7,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2011,,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2012,4.0,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2013,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2014,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2015,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2016,3.4,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2017,3.3,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2018,3.5,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2019,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2020,3.0,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2021,3.1,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE21,1999,7.0,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE21,2000,10.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE21,2001,9.3,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE21,2002,8.3,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE21,2003,7.8,u
