DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2000,14600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2001,14500,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2002,14900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2003,15700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2004,16300,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2005,17500,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2006,18400,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2007,19100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2008,19600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2009,19200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2010,19300,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2011,19700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2012,19700,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2013,19600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2014,19800,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2015,19900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2016,20300,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2017,20600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2018,21100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT3,2019,21600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2000,14500,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2001,14400,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2002,14800,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2003,15600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2004,16200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2005,17500,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2006,18400,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2007,19100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2008,19600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT31,2009,19300,
