DATAFLOW,LAST UPDATE,freq,category,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2002,29.3,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2003,29.2,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2004,35.4,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2005,33.1,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2006,33.3,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2007,33.2,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2008,34.1,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2009,34.5,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2010,34.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2011,35.6,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2012,37.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2013,38.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2014,43.0,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2015,43.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2016,44.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2017,44.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2018,45.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2019,47.3,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2020,47.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT3,2021,47.5,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,1999,26.5,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2000,25.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2001,27.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2002,28.3,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2003,28.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2004,35.2,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2005,33.0,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2006,33.7,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2007,33.1,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2008,33.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2009,33.9,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2010,34.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2011,35.3,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2012,36.0,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2013,37.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2014,42.4,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2015,42.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2016,44.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2017,44.5,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2018,46.1,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2019,48.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2020,47.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT31,2021,48.0,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT32,1999,29.8,
