DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT22,2019,3.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT22,2020,3.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT22,2021,3.6,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2008,2.7,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2009,2.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2010,2.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2011,2.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2012,2.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2013,2.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2014,2.9,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2015,3.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2016,3.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2017,3.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2018,2.9,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2019,3.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2020,3.2,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT3,2021,3.3,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2008,2.7,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2009,2.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2010,2.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2011,2.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2012,2.6,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2013,2.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2014,2.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2015,2.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2016,3.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2017,3.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2018,3.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2019,3.2,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2020,3.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT31,2021,3.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2008,2.5,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2009,2.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2010,2.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2011,2.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2012,2.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2013,2.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2014,2.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT32,2015,2.9,
