DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2004,79.2,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2005,91.7,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2006,96.8,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2007,100.6,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2008,98.5,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2009,94.5,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2010,89.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2011,85.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2012,85.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2013,90.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2014,79.6,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2015,70.1,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2016,80.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2017,79.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2018,73.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2019,73.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2020,77.8,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2021,75.2,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT3,1999,324.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT3,2000,324.1,
