DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2009,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2010,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2011,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2012,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2013,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2014,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2015,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2016,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2017,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2018,41.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2019,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2020,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2021,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT2,1990,37.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT2,1991,37.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT2,1992,37.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT2,1993,37.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT2,1994,37.8,
