DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2001,19927,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2002,20283,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2003,20817,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2004,21729,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2005,23061,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2006,24310,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2007,25647,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2008,26653,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2009,25810,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2010,26014,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2011,27046,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2012,28165,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2013,28332,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2014,29063,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2015,29698,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2016,30101,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2017,31638,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2018,33151,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2019,34373,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT22,2020,32611,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2000,52004,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2001,53270,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2002,54136,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2003,55830,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2004,58638,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2005,62002,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2006,65356,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2007,68552,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2008,71051,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2009,69414,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2010,69687,
