Provinces;Five-year age group;Nationality;Sex;Period;Total
National Total;Total;De Sudamérica;Both sexes;1 January 2016;723,156.737050
National Total;Total;De Sudamérica;Both sexes;1 July 2015;734,606.617957
National Total;Total;De Sudamérica;Both sexes;1 January 2015;763,635.062274
National Total;Total;De Sudamérica;Both sexes;1 July 2014;806,958.053201
National Total;Total;De Sudamérica;Both sexes;1 January 2014;900,225.510441
National Total;Total;De Sudamérica;Both sexes;1 July 2013;1,010,430.259966
National Total;Total;De Sudamérica;Both sexes;1 January 2013;1,126,642.798319
National Total;Total;De Sudamérica;Both sexes;1 July 2012;1,179,873.414590
National Total;Total;De Sudamérica;Both sexes;1 January 2012;1,252,135.301105
National Total;Total;De Sudamérica;Both sexes;1 July 2011;1,312,783.266563
National Total;Total;De Sudamérica;Both sexes;1 January 2011;1,370,140.761764
National Total;Total;De Sudamérica;Both sexes;1 July 2010;1,433,341.011570
National Total;Total;De Sudamérica;Both sexes;1 January 2010;1,498,951.984904
National Total;Total;De Sudamérica;Both sexes;1 July 2009;1,554,792.765175
National Total;Total;De Sudamérica;Both sexes;1 January 2009;1,563,304.939289
National Total;Total;De Sudamérica;Both sexes;1 July 2008;1,550,681.091052
National Total;Total;De Sudamérica;Both sexes;1 January 2008;1,525,068.641859
National Total;Total;De Sudamérica;Both sexes;1 July 2007;1,478,504.193781
National Total;Total;De Sudamérica;Both sexes;1 January 2007;1,399,087.826497
National Total;Total;De Sudamérica;Both sexes;1 July 2006;1,329,280.051189
National Total;Total;De Sudamérica;Both sexes;1 January 2006;1,277,450.619392
National Total;Total;De Sudamérica;Both sexes;1 July 2005;1,237,371.564671
National Total;Total;De Sudamérica;Both sexes;1 January 2005;1,178,932.866358
National Total;Total;De Sudamérica;Both sexes;1 July 2004;1,108,229.967493
National Total;Total;De Sudamérica;Both sexes;1 January 2004;1,061,568.952541
National Total;Total;De Sudamérica;Both sexes;1 July 2003;985,371.555872
National Total;Total;De Sudamérica;Both sexes;1 January 2003;866,523.796444
National Total;Total;De Sudamérica;Both sexes;1 July 2002;751,246.882861
National Total;Total;De Sudamérica;Both sexes;1 January 2002;603,293.895588
National Total;Total;De Asia;Both sexes;1 July 2022;419,756.682580
National Total;Total;De Asia;Both sexes;1 January 2022;426,449.777315
National Total;Total;De Asia;Both sexes;1 July 2021;423,919.115583
National Total;Total;De Asia;Both sexes;1 January 2021;429,751.453845
National Total;Total;De Asia;Both sexes;1 July 2020;427,475.813845
National Total;Total;De Asia;Both sexes;1 January 2020;423,531.133845
National Total;Total;De Asia;Both sexes;1 July 2019;408,410.110831
National Total;Total;De Asia;Both sexes;1 January 2019;396,160.047815
National Total;Total;De Asia;Both sexes;1 July 2018;379,506.588630
National Total;Total;De Asia;Both sexes;1 January 2018;368,726.129444
National Total;Total;De Asia;Both sexes;1 July 2017;355,089.091508
National Total;Total;De Asia;Both sexes;1 January 2017;349,307.013571
National Total;Total;De Asia;Both sexes;1 July 2016;341,190.785338
National Total;Total;De Asia;Both sexes;1 January 2016;337,339.573059
National Total;Total;De Asia;Both sexes;1 July 2015;332,554.697833
National Total;Total;De Asia;Both sexes;1 January 2015;330,205.925530
National Total;Total;De Asia;Both sexes;1 July 2014;329,920.481094
National Total;Total;De Asia;Both sexes;1 January 2014;332,354.405742
National Total;Total;De Asia;Both sexes;1 July 2013;339,119.945849
National Total;Total;De Asia;Both sexes;1 January 2013;346,248.397772
National Total;Total;De Asia;Both sexes;1 July 2012;348,311.044404
National Total;Total;De Asia;Both sexes;1 January 2012;348,060.873383
National Total;Total;De Asia;Both sexes;1 July 2011;345,397.737750
National Total;Total;De Asia;Both sexes;1 January 2011;339,823.947322
National Total;Total;De Asia;Both sexes;1 July 2010;329,459.027137
National Total;Total;De Asia;Both sexes;1 January 2010;320,335.746775
National Total;Total;De Asia;Both sexes;1 July 2009;313,718.837394
National Total;Total;De Asia;Both sexes;1 January 2009;302,150.016370
National Total;Total;De Asia;Both sexes;1 July 2008;285,837.291243
National Total;Total;De Asia;Both sexes;1 January 2008;264,904.392176
National Total;Total;De Asia;Both sexes;1 July 2007;245,584.420504
National Total;Total;De Asia;Both sexes;1 January 2007;230,837.632433
National Total;Total;De Asia;Both sexes;1 July 2006;220,616.480860
National Total;Total;De Asia;Both sexes;1 January 2006;209,890.813539
National Total;Total;De Asia;Both sexes;1 July 2005;197,568.412521
National Total;Total;De Asia;Both sexes;1 January 2005;175,710.232861
National Total;Total;De Asia;Both sexes;1 July 2004;154,537.911262
National Total;Total;De Asia;Both sexes;1 January 2004;138,085.902512
National Total;Total;De Asia;Both sexes;1 July 2003;124,583.391542
National Total;Total;De Asia;Both sexes;1 January 2003;110,386.909806
National Total;Total;De Asia;Both sexes;1 July 2002;95,826.996489
National Total;Total;De Asia;Both sexes;1 January 2002;80,773.275566
National Total;Total;De Oceanía;Both sexes;1 July 2022;5,549.302011
National Total;Total;De Oceanía;Both sexes;1 January 2022;5,466.302011
National Total;Total;De Oceanía;Both sexes;1 July 2021;5,427.302011
National Total;Total;De Oceanía;Both sexes;1 January 2021;5,446.302011
National Total;Total;De Oceanía;Both sexes;1 July 2020;5,275.302011
National Total;Total;De Oceanía;Both sexes;1 January 2020;5,195.302011
National Total;Total;De Oceanía;Both sexes;1 July 2019;4,883.782011
National Total;Total;De Oceanía;Both sexes;1 January 2019;4,745.262011
National Total;Total;De Oceanía;Both sexes;1 July 2018;4,460.262011
National Total;Total;De Oceanía;Both sexes;1 January 2018;4,318.262011
National Total;Total;De Oceanía;Both sexes;1 July 2017;4,064.262011
National Total;Total;De Oceanía;Both sexes;1 January 2017;3,906.262011
National Total;Total;De Oceanía;Both sexes;1 July 2016;3,685.484481
National Total;Total;De Oceanía;Both sexes;1 January 2016;3,532.115063
National Total;Total;De Oceanía;Both sexes;1 July 2015;3,344.852769
National Total;Total;De Oceanía;Both sexes;1 January 2015;3,209.358617
National Total;Total;De Oceanía;Both sexes;1 July 2014;3,040.352478
National Total;Total;De Oceanía;Both sexes;1 January 2014;2,936.656994
National Total;Total;De Oceanía;Both sexes;1 July 2013;2,828.840632
National Total;Total;De Oceanía;Both sexes;1 January 2013;2,750.178328
National Total;Total;De Oceanía;Both sexes;1 July 2012;2,668.538869
National Total;Total;De Oceanía;Both sexes;1 January 2012;2,484.315791
National Total;Total;De Oceanía;Both sexes;1 July 2011;2,438.255044
National Total;Total;De Oceanía;Both sexes;1 January 2011;2,448.414415
National Total;Total;De Oceanía;Both sexes;1 July 2010;2,479.610655
National Total;Total;De Oceanía;Both sexes;1 January 2010;2,540.778378
National Total;Total;De Oceanía;Both sexes;1 July 2009;2,588.723482
National Total;Total;De Oceanía;Both sexes;1 January 2009;2,637.182153
National Total;Total;De Oceanía;Both sexes;1 July 2008;2,638.354524
National Total;Total;De Oceanía;Both sexes;1 January 2008;2,614.653630
National Total;Total;De Oceanía;Both sexes;1 July 2007;2,602.940386
National Total;Total;De Oceanía;Both sexes;1 January 2007;2,576.985112
National Total;Total;De Oceanía;Both sexes;1 July 2006;2,538.337894
National Total;Total;De Oceanía;Both sexes;1 January 2006;2,388.846942
National Total;Total;De Oceanía;Both sexes;1 July 2005;2,293.457436
National Total;Total;De Oceanía;Both sexes;1 January 2005;2,166.066774
National Total;Total;De Oceanía;Both sexes;1 July 2004;2,050.731306
National Total;Total;De Oceanía;Both sexes;1 January 2004;1,954.222181
National Total;Total;De Oceanía;Both sexes;1 July 2003;1,892.232864
National Total;Total;De Oceanía;Both sexes;1 January 2003;1,789.685674
National Total;Total;De Oceanía;Both sexes;1 July 2002;1,656.454156
National Total;Total;De Oceanía;Both sexes;1 January 2002;1,505.860452
National Total;Total;Stateless persons;Both sexes;1 July 2022;2,510.695520
National Total;Total;Stateless persons;Both sexes;1 January 2022;2,363.695520
National Total;Total;Stateless persons;Both sexes;1 July 2021;2,252.695520
National Total;Total;Stateless persons;Both sexes;1 January 2021;2,149.695520
National Total;Total;Stateless persons;Both sexes;1 July 2020;2,023.695520
National Total;Total;Stateless persons;Both sexes;1 January 2020;1,951.695520
National Total;Total;Stateless persons;Both sexes;1 July 2019;1,773.695520
National Total;Total;Stateless persons;Both sexes;1 January 2019;1,606.695520
National Total;Total;Stateless persons;Both sexes;1 July 2018;1,434.695520
National Total;Total;Stateless persons;Both sexes;1 January 2018;1,275.695520
National Total;Total;Stateless persons;Both sexes;1 July 2017;1,136.695520
National Total;Total;Stateless persons;Both sexes;1 January 2017;1,042.695520
National Total;Total;Stateless persons;Both sexes;1 July 2016;945.534033
National Total;Total;Stateless persons;Both sexes;1 January 2016;872.129053
National Total;Total;Stateless persons;Both sexes;1 July 2015;793.358170
National Total;Total;Stateless persons;Both sexes;1 January 2015;744.993909
National Total;Total;Stateless persons;Both sexes;1 July 2014;672.623217
National Total;Total;Stateless persons;Both sexes;1 January 2014;617.722630
National Total;Total;Stateless persons;Both sexes;1 July 2013;570.935294
National Total;Total;Stateless persons;Both sexes;1 January 2013;547.954997
National Total;Total;Stateless persons;Both sexes;1 July 2012;522.128074
National Total;Total;Stateless persons;Both sexes;1 January 2012;503.257169
National Total;Total;Stateless persons;Both sexes;1 July 2011;516.027514
National Total;Total;Stateless persons;Both sexes;1 January 2011;522.526681
National Total;Total;Stateless persons;Both sexes;1 July 2010;558.935812
National Total;Total;Stateless persons;Both sexes;1 January 2010;571.313481
National Total;Total;Stateless persons;Both sexes;1 July 2009;594.782572
National Total;Total;Stateless persons;Both sexes;1 January 2009;618.534488
National Total;Total;Stateless persons;Both sexes;1 July 2008;628.746240
National Total;Total;Stateless persons;Both sexes;1 January 2008;625.818713
National Total;Total;Stateless persons;Both sexes;1 July 2007;629.057744
National Total;Total;Stateless persons;Both sexes;1 January 2007;629.098362
National Total;Total;Stateless persons;Both sexes;1 July 2006;623.633780
National Total;Total;Stateless persons;Both sexes;1 January 2006;616.635550
National Total;Total;Stateless persons;Both sexes;1 July 2005;617.443096
National Total;Total;Stateless persons;Both sexes;1 January 2005;605.740837
National Total;Total;Stateless persons;Both sexes;1 July 2004;582.942902
National Total;Total;Stateless persons;Both sexes;1 January 2004;556.345184
National Total;Total;Stateless persons;Both sexes;1 July 2003;536.456278
National Total;Total;Stateless persons;Both sexes;1 January 2003;507.567593
National Total;Total;Stateless persons;Both sexes;1 July 2002;454.884104
National Total;Total;Stateless persons;Both sexes;1 January 2002;388.595613
02 Albacete;Total;Total;Both sexes;1 July 2022;387,969.093851
02 Albacete;Total;Total;Both sexes;1 January 2022;387,759.511738
02 Albacete;Total;Total;Both sexes;1 July 2021;388,013.063888
02 Albacete;Total;Total;Both sexes;1 January 2021;388,880.076037
02 Albacete;Total;Total;Both sexes;1 July 2020;389,027.453859
02 Albacete;Total;Total;Both sexes;1 January 2020;389,873.871682
02 Albacete;Total;Total;Both sexes;1 July 2019;389,647.677670
02 Albacete;Total;Total;Both sexes;1 January 2019;389,527.903657
02 Albacete;Total;Total;Both sexes;1 July 2018;389,322.037548
02 Albacete;Total;Total;Both sexes;1 January 2018;390,337.051437
02 Albacete;Total;Total;Both sexes;1 July 2017;390,303.896475
02 Albacete;Total;Total;Both sexes;1 January 2017;391,574.481514
02 Albacete;Total;Total;Both sexes;1 July 2016;392,035.729163
02 Albacete;Total;Total;Both sexes;1 January 2016;392,957.543508
02 Albacete;Total;Total;Both sexes;1 July 2015;393,663.500756
02 Albacete;Total;Total;Both sexes;1 January 2015;394,927.888577
02 Albacete;Total;Total;Both sexes;1 July 2014;395,667.758637
02 Albacete;Total;Total;Both sexes;1 January 2014;396,683.528455
02 Albacete;Total;Total;Both sexes;1 July 2013;397,719.461993
02 Albacete;Total;Total;Both sexes;1 January 2013;399,509.741104
02 Albacete;Total;Total;Both sexes;1 July 2012;400,430.081787
02 Albacete;Total;Total;Both sexes;1 January 2012;401,590.189685
02 Albacete;Total;Total;Both sexes;1 July 2011;401,253.590788
02 Albacete;Total;Total;Both sexes;1 January 2011;400,846.648077
02 Albacete;Total;Total;Both sexes;1 July 2010;399,966.725116
02 Albacete;Total;Total;Both sexes;1 January 2010;399,447.695937
02 Albacete;Total;Total;Both sexes;1 July 2009;398,644.836253
02 Albacete;Total;Total;Both sexes;1 January 2009;397,881.282447
